Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Tin,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,3.202,0.3,2.0,0.01278,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Platinum,"Palladium, Rhodium, Gold, Platinum",19,1.82,Marine (Seawater),5.0,1.032,0.1,10.0,0.182,Unfavorable
Lead,Lead,7,Titanium,Titanium,17,0.53,Marine (Seawater),5.0,0.786,0.3,10.0,0.041451,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Industrial (Acidic Rain),0.1,0.809,0.3,5.0,0.024946,Compatible
Silver solder,Silver,18,Silver,Silver,18,0.18,Industrial (Acidic Rain),0.1,0.213,10.0,10.0,0.001231,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Rural (Freshwater),0.01,3.742,0.3,5.0,0.016372,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.66,Marine (Seawater),5.0,2.847,5.0,10.0,0.115403,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,0.853,2.0,2.0,0.062546,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Industrial (Acidic Rain),0.1,1.797,5.0,10.0,0.041989,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.61,Industrial (Acidic Rain),0.1,1.462,5.0,10.0,0.035408,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.07,Rural (Freshwater),0.01,5.68,1.0,5.0,0.003466,Compatible
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.26,Industrial (Acidic Rain),0.1,0.137,2.0,10.0,0.001661,Compatible
Nickel (passive),"Nickel, Cobalt",16,Graphite,Graphite,20,0.25,Rural (Freshwater),0.01,1.763,2.0,10.0,0.004084,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.46,Rural (Freshwater),0.01,3.374,0.1,1.0,0.01605,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.45,Industrial (Acidic Rain),0.1,0.757,5.0,1.0,0.021739,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Industrial (Acidic Rain),0.1,0.13,5.0,10.0,0.003774,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.11,Marine (Seawater),5.0,0.107,5.0,10.0,0.000776,Compatible
